,noPhylo,duplicate_Data.point.code,noBioclim,Sorting.code,Citation,Study.Codes,Data.point.code,Scientific.Name,Common.Name.2,Nativity,Authority,sp_code,variety,Subspecies,Species,Genus,plant.form,Subfamily,Family,Order,Subclass,Class,Subdivision,Division,Superdivision,Subkingdom,Kingdom,Plant.type,Clade,Latitude.2,Longitude.2,lat,long,State..Territory..or.Region,Country,Continent,elev,Source.for.elevation.data,streamOrder,streamOrder2,Land.use,durationD,durationDD2,X..sampling.dates,mesh.size.category,t50d,kd,n,estimated.k.,equation.used,minC,maxC,rangeC,meanC,estimated.mean.,tidyNameOrig,tidiedName,newName,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
415,FALSE,FALSE,TRUE,455,Lecerf et al 2007 Can J Fish and Aq Sci,,ALAL59,Quercus robur,columnar English oak,Europe,L.,robur,,,robur,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,53.22,1.49,53.3667,-1.8167,north-central England ,UK,Europe,225,Reported value,3,3,pasture,109,730,5,coarse,51.64,0.0134,20,no,exponential,2.7,8.8,6.1,6.7,N,quercusrobur,Quercus robur,Quercus robur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,FALSE,FALSE,TRUE,456,Lecerf et al 2007 Can J Fish and Aq Sci,,ALAL60,Quercus robur,columnar English oak,Europe,L.,robur,,,robur,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,53.22,1.49,53.3667,-1.8167,north-central England ,UK,Europe,225,Reported value,3,3,pasture,109,763,5,coarse,51.2,0.0135,20,no,exponential,2.8,9.2,6.4,7,N,quercusrobur,Quercus robur,Quercus robur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,FALSE,FALSE,TRUE,457,Lecerf et al 2007 Can J Fish and Aq Sci,,ALAL61,Polygonum cuspidatum,Japanese knotweed,Japan,Siebold & Zucc.,cuspidatum,,,cuspidatum,Polygonum,shrub,,Polygonaceae,Polygonales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,herb,Eudicot,53.22,1.49,53.3667,-1.8167,north-central England ,UK,Europe,225,Reported value,3,3,pasture,109,730,5,coarse,53.94,0.0129,20,no,exponential,2.7,8.8,6.1,6.7,N,polygonumcuspidatum,Polygonum cuspidatum,Polygonum cuspidatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,FALSE,FALSE,TRUE,458,Lecerf et al 2007 Can J Fish and Aq Sci,,ALAL62,Polygonum cuspidatum,Japanese knotweed,Japan,Siebold & Zucc.,cuspidatum,,,cuspidatum,Polygonum,shrub,,Polygonaceae,Polygonales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,herb,Eudicot,53.22,1.49,53.3667,-1.8167,north-central England ,UK,Europe,225,Reported value,3,3,pasture,109,763,5,coarse,53.54,0.0129,20,no,exponential,2.8,9.2,6.4,7,N,polygonumcuspidatum,Polygonum cuspidatum,Polygonum cuspidatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
936,FALSE,FALSE,TRUE,1097,Pidgeon & Cairns_1981_Hydrobiologia,,CFW5186,Salix x pendulina,Wisconsin weeping willow,,Wender [fragilis x sepulcralis],xpendulina,,,xpendulina,Salix,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-20.31,151.39,-30.48,151.65,New South Whales,Australia,Australia,950,Reported value,3,3,pasture,56,868,5,coarse,12.96,0.0535,,yes,exponential,8,23,15,15.5,Y,salixxpendulina,Salix x pendulina,Salix x pendulina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,FALSE,FALSE,TRUE,1098,Pidgeon & Cairns_1981_Hydrobiologia,,CFW5187,Salix x pendulina,Wisconsin weeping willow,,Wender [fragilis x sepulcralis],xpendulina,,,xpendulina,Salix,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,-20.31,151.39,-30.48,151.65,New South Whales,Australia,Australia,950,Reported value,3,3,pasture,112,1736,5,fine,44.81,0.0155,,yes,exponential,8,23,15,15.5,Y,salixxpendulina,Salix x pendulina,Salix x pendulina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,TRUE,FALSE,FALSE,1677,Sridhar et al 2000 Arch Hydro,,DWPM105,Fontinalis antipyretica,Antifever fontinalis moss,,Hedw.,antipyretica,,,antipyretica,Fontinalis,moss,,Fontinalaceae,Isobryales,Bryidae,Bryopsida,Musci,Bryophyta,,,Plantae,macrophyte,Bryophyte,46.42,-64.13,46.7,-64.2167,"West Point, New Brunswick",Canada,North America,24,GPS Visualizer,1,1,forest - unspecified,140,1428,7,coarse,128.36,0.0054,,yes,exponential,,,0,10.2,N,fontinalisantipyretica,Fontinalis antipyretica,Fontinalis antipyretica,51,92,24,9460,239,-131,370,-39,88,171,-72,1110,115,80,12,332,254,258,309
1886,FALSE,TRUE,FALSE,2146,"Bergfur et al. 2007 FAL, FWB",E,JJFS464,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.81,15.36,59.81,15.36,South-Central,Sweden,Europe,158,Reported value,4,4,,55,#VALUE!,,coarse,147.48,0.0047,3,no,exponential,,,,.,.,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,84,27,7513,217,-86,303,138,-8,152,-42,679,81,35,27,232,112,220,140
1887,FALSE,TRUE,FALSE,2147,"Bergfur et al. 2007 FAL, FWB",,JJFS465,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.72,14.78,59.72,14.78,South-Central,Sweden,Europe,134,Reported value,5,5,,55,94,,coarse,44.43,0.0156,3,no,exponential,,,,1.7,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,49,84,27,7464,213,-88,301,135,-11,148,-44,701,83,35,27,238,115,225,144
1888,FALSE,TRUE,FALSE,2148,"Bergfur et al. 2007 FAL, FWB",,JJFS466,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.63,15.43,59.63,15.43,South-Central,Sweden,Europe,84,Reported value,5,5,,55,62,,coarse,165.04,0.0042,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,57,83,27,7419,221,-79,300,142,-3,156,-35,656,77,33,27,224,107,210,135
1889,FALSE,TRUE,FALSE,2149,"Bergfur et al. 2007 FAL, FWB",,JJFS467,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.62,17.3,60.62,17.3,South-Central,Sweden,Europe,14,Reported value,4,4,,55,76,,coarse,55.9,0.0124,3,no,exponential,,,,1.4,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,50,78,25,7841,210,-92,302,140,-12,153,-49,610,80,32,28,215,104,195,131
1890,FALSE,TRUE,FALSE,2150,"Bergfur et al. 2007 FAL, FWB",,JJFS468,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.35,17.7,60.35,17.7,South-Central,Sweden,Europe,28,Reported value,4,4,,55,65,,coarse,38.3,0.0181,3,no,exponential,,,,1.2,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,74,25,7719,209,-85,294,141,-10,154,-45,583,75,30,29,206,96,188,124
1891,FALSE,TRUE,FALSE,2151,"Bergfur et al. 2007 FAL, FWB",,JJFS469,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.68,18.68,59.68,18.68,South-Central,Sweden,Europe,10,Reported value,4,4,,55,83,,coarse,41.51,0.0167,3,no,exponential,,,,1.5,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,65,23,7302,210,-63,273,147,-1,158,-29,516,62,25,29,177,82,158,114
1892,FALSE,TRUE,FALSE,2152,"Bergfur et al. 2007 FAL, FWB",,JJFS470,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.8,17.61,59.8,17.61,South-Central,Sweden,Europe,4,Reported value,4,4,,55,63,,coarse,41.51,0.0167,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,70,24,7471,211,-71,282,145,-3,157,-34,553,70,27,30,197,87,187,113
1893,FALSE,TRUE,FALSE,2154,"Bergfur et al. 2007 FAL, FWB",,JJFS472,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.74,18.49,59.74,18.49,South-Central,Sweden,Europe,12,Reported value,5,5,,55,74,,coarse,11.51,0.0602,3,no,exponential,,,,1.3,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,61,66,24,7366,213,-61,274,149,1,160,-28,531,65,26,30,186,84,170,114
1894,FALSE,TRUE,FALSE,2155,"Bergfur et al. 2007 FAL, FWB",E,JJFS473,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.81,15.36,59.81,15.36,South-Central,Sweden,Europe,158,Reported value,4,4,,55,#VALUE!,,fine,277.26,0.0025,3,no,exponential,,,,.,.,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,84,27,7513,217,-86,303,138,-8,152,-42,679,81,35,27,232,112,220,140
1895,FALSE,TRUE,FALSE,2156,"Bergfur et al. 2007 FAL, FWB",,JJFS474,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.72,14.78,59.72,14.78,South-Central,Sweden,Europe,134,Reported value,5,5,,55,94,,fine,81.55,0.0085,3,no,exponential,,,,1.7,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,49,84,27,7464,213,-88,301,135,-11,148,-44,701,83,35,27,238,115,225,144
1896,FALSE,TRUE,FALSE,2157,"Bergfur et al. 2007 FAL, FWB",,JJFS475,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.63,15.43,59.63,15.43,South-Central,Sweden,Europe,84,Reported value,5,5,,55,62,,fine,223.6,0.0031,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,57,83,27,7419,221,-79,300,142,-3,156,-35,656,77,33,27,224,107,210,135
1897,FALSE,TRUE,FALSE,2158,"Bergfur et al. 2007 FAL, FWB",,JJFS476,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.62,17.3,60.62,17.3,South-Central,Sweden,Europe,14,Reported value,4,4,,55,76,,fine,138.63,0.005,3,no,exponential,,,,1.4,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,50,78,25,7841,210,-92,302,140,-12,153,-49,610,80,32,28,215,104,195,131
1898,FALSE,TRUE,FALSE,2159,"Bergfur et al. 2007 FAL, FWB",,JJFS477,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.35,17.7,60.35,17.7,South-Central,Sweden,Europe,28,Reported value,4,4,,55,65,,fine,73.74,0.0094,3,no,exponential,,,,1.2,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,74,25,7719,209,-85,294,141,-10,154,-45,583,75,30,29,206,96,188,124
