,Name_number,phylomatic.input,phylomatic.all.lower,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
1,0,fabaceae/acacia/Acacia_melanoxylon,fabaceae/acacia/acacia_melanoxylon,Acacia melanoxylon,1,Acacia melanoxylon,species,1,R. Br.,http://www.tropicos.org/Name/13024220;http://plants.usda.gov/java/profile?symbol=ACME,,NA,NA,NA,Fabaceae,Acacia,1,melanoxylon,1,,,NA,NA,NA,NA,NA,,Accepted,Acacia melanoxylon,R. Br.,species,http://www.tropicos.org/Name/13024220;http://plants.usda.gov/java/profile?symbol=ACME,Acacia melanoxylon,Fabaceae,TRUE,tropicos;usda, ,
2,1,sapindaceae/acer/Acer_barbatum,sapindaceae/acer/acer_barbatum,Acer barbatum,1,Acer barbatum,species,1,Michx.,http://www.tropicos.org/Name/200076;http://plants.usda.gov/java/profile?symbol=ACBA3,,NA,NA,NA,Sapindaceae,Acer,1,barbatum,1,,,NA,NA,NA,NA,NA,,Accepted,Acer barbatum,Michx.,species,http://www.tropicos.org/Name/200076;http://plants.usda.gov/java/profile?symbol=ACBA3,Acer barbatum,Sapindaceae,TRUE,tropicos;usda, ,
3,2,sapindaceae/acer/Acer_pictum subsp. mono,sapindaceae/acer/acer_pictum subsp. mono,Acer mono,1,Acer mono,species,1,Maxim.,http://www.tropicos.org/Name/200047,,NA,NA,NA,Sapindaceae,Acer,1,mono,1,,,NA,NA,NA,NA,NA,,Synonym,Acer pictum subsp. mono,(Maxim.) H. Ohashi,subspecies,http://www.tropicos.org/Name/50161666,Acer pictum,Sapindaceae,TRUE,tropicos, ,
4,3,sapindaceae/acer/Acer_negundo,sapindaceae/acer/acer_negundo,Acer negundo,1,Acer negundo,species,1,L.,http://www.tropicos.org/Name/200001;http://plants.usda.gov/java/profile?symbol=ACNE2,,NA,NA,NA,Sapindaceae,Acer,1,negundo,1,,,NA,NA,NA,NA,NA,,Accepted,Acer negundo,L.,species,http://www.tropicos.org/Name/200001;http://plants.usda.gov/java/profile?symbol=ACNE2,Acer negundo,Sapindaceae,TRUE,tropicos;usda, ,
5,4,sapindaceae/acer/Acer_platanoides,sapindaceae/acer/acer_platanoides,Acer platanoides,1,Acer platanoides,species,1,L.,http://www.tropicos.org/Name/200035;http://plants.usda.gov/java/profile?symbol=ACPL,,NA,NA,NA,Sapindaceae,Acer,1,platanoides,1,,,NA,NA,NA,NA,NA,,Accepted,Acer platanoides,L.,species,http://www.tropicos.org/Name/200035;http://plants.usda.gov/java/profile?symbol=ACPL,Acer platanoides,Sapindaceae,TRUE,tropicos;usda, ,
6,5,sapindaceae/acer/Acer_pseudoplatanus,sapindaceae/acer/acer_pseudoplatanus,Acer pseudoplatanus,1,Acer pseudoplatanus,species,1,L.,http://www.tropicos.org/Name/200008;http://plants.usda.gov/java/profile?symbol=ACPS,,NA,NA,NA,Sapindaceae,Acer,1,pseudoplatanus,1,,,NA,NA,NA,NA,NA,,Accepted,Acer pseudoplatanus,L.,species,http://www.tropicos.org/Name/200008;http://plants.usda.gov/java/profile?symbol=ACPS,Acer pseudoplatanus,Sapindaceae,TRUE,tropicos;usda, ,
7,6,sapindaceae/acer/Acer_rubrum,sapindaceae/acer/acer_rubrum,Acer rubrum,1,Acer rubrum,species,1,L.,http://www.tropicos.org/Name/200014;http://plants.usda.gov/java/profile?symbol=ACRU,,NA,NA,NA,Sapindaceae,Acer,1,rubrum,1,,,NA,NA,NA,NA,NA,,Accepted,Acer rubrum,L.,species,http://www.tropicos.org/Name/200014;http://plants.usda.gov/java/profile?symbol=ACRU,Acer rubrum,Sapindaceae,TRUE,tropicos;usda, ,
8,7,sapindaceae/acer/Acer_saccharinum,sapindaceae/acer/acer_saccharinum,Acer saccharinum,1,Acer saccharinum,species,1,L.,http://www.tropicos.org/Name/200038;http://plants.usda.gov/java/profile?symbol=ACSA2,,NA,NA,NA,Sapindaceae,Acer,1,saccharinum,1,,,NA,NA,NA,NA,NA,,Accepted,Acer saccharinum,L.,species,http://www.tropicos.org/Name/200038;http://plants.usda.gov/java/profile?symbol=ACSA2,Acer saccharinum,Sapindaceae,TRUE,tropicos;usda, ,
9,8,sapindaceae/acer/Acer_saccharum,sapindaceae/acer/acer_saccharum,Acer saccharum,1,Acer saccharum,species,1,Marshall,http://www.tropicos.org/Name/200039,,NA,NA,NA,Sapindaceae,Acer,1,saccharum,1,,,NA,NA,NA,NA,NA,,Accepted,Acer saccharum,Marshall,species,http://www.tropicos.org/Name/200039,Acer saccharum,Sapindaceae,TRUE,tropicos, ,
10,9,sapindaceae/aesculus/Aesculus_hippocastanum,sapindaceae/aesculus/aesculus_hippocastanum,Aesculus hippocastanum,1,Aesculus hippocastanum,species,1,L.,http://www.tropicos.org/Name/15500008;http://plants.usda.gov/java/profile?symbol=AEHI,,NA,NA,NA,Sapindaceae,Aesculus,1,hippocastanum,1,,,NA,NA,NA,NA,NA,,Accepted,Aesculus hippocastanum,L.,species,http://www.tropicos.org/Name/15500008;http://plants.usda.gov/java/profile?symbol=AEHI,Aesculus hippocastanum,Sapindaceae,TRUE,tropicos;usda, ,
